mcc,mnc,dial_no,apn,user,password,carrier,authtype,protocol,roaming_protocol,type
001,1, ,internet, , ,TEST SIM, , , ,default
001,10, ,internet, , ,TEST SIM, , , ,default
200,53, ,0, , ,Virgin Mobile US, , , ,mms
202,1, ,internet, , ,Cosmote Internet, , , ,"default,supl"
202,1, ,mms, , ,Cosmote MMS, , , ,mms
202,5, ,internet.vodafone.gr,user,pass,Vodafone Web,3, , ,"default,supl"
202,5, ,wap.vodafone.gr,user,pass,Vf live!,3, , ,"default,supl"
202,5, ,wapkarta.vodafone.gr,user,pass,Vf live! Prepay,3, , ,"default,supl"
202,5, ,internet, , ,Vf Mobile Broadband, , , ,"default,supl"
202,5, ,webonly.vodafone.gr, , ,Vf Mobile Internet, , , ,"default,supl"
202,5, ,websession, , ,Vf kartointernet, , , ,"default,supl"
202,5, ,mms.vodafone.net,user,pass,Vf MMS,1, , ,mms
202,5, ,internet,user,pass,Vf Internet Corporate, , , ,"default,supl"
202,5, ,surfonly.vodafone.gr, , ,Vodafone GR, , , ,"default,supl"
202,5, ,webkarta.vodafone.gr, , ,Vodafone GR Prepaid, , , ,"default,supl"
202,9, ,myq, , ,Q-Telecom Internet, , , ,"default,supl"
202,9, ,q-mms.myq.gr, , ,Q-Telecom MMS, , , ,mms
202,10, ,gint.b-online.gr, , ,WIND Internet, , , ,"default,supl"
202,10, ,mnet.b-online.gr, , ,WIND MMS, , , ,mms
202,14, ,cytamobile, , ,Cyta Mobile, , , ,"default,supl,mms"
202,14, ,internet.cyta.gr, , ,Cyta GR, , , ,"default,supl"
204,2, ,internet.tele2.nl, , ,Tele2 NL, , , ,"default,supl,mms"
204,2, ,Tele2 GPRS, , ,Tele2 GPRS, , , ,"default,supl,mms"
204,3, ,internet.mvno.mobi,mvno,mvno,MVNO NL,1, , ,"default,supl"
204,4, ,sphone.pelephone.net.il,pcl@3g,pcl,Sphone Pelephone, , , ,"default,supl"
204,4, ,mms.pelephone.net.il,pcl@3g,pcl,Multimedia Pelephone, , , ,mms
204,4, ,live.vodafone.com,vodafone,vodafone,Vodafone NL, , , ,"default,supl,mms"
204,4, ,VZWINTERNET, , ,VZW Roaming Internet, ,IPV4V6,IPV4V6,"default,dun,supl"
204,4, ,VZWADMIN, , ,VZW Roaming FOTA, ,IPV4V6,IPV4V6,fota
204,4, ,VZWIMS, , ,VZW Roaming IMS, ,IPV4V6,IPV4V6,ims
204,4, ,VZWAPP, , ,VZW Roaming CBS, ,IPV4V6,IPV4V6,"cbs,mms"
204,4, ,data.dataxs.mobi, , ,hollandsnieuwe int., , , ,"default,supl"
204,4, ,office.vodafone.nl,vodafone,vodafone,Vodafone MMS Business, , , ,mms
204,4, ,ctnet,ctnet@mycdma.cn,vnet.mobi,中??信NET?置,3, , ,"default,supl,dun"
204,4, ,ctwap,ctwap@mycdma.cn,vnet.mobi,中??信WAP?置,3, , ,"default,supl,dun,mms"
204,4, ,ziggo.dataxs.mobi, , ,Ziggo Mobiel,1, , ,"default,supl"
204,4, ,data.dataxs.mobi, , ,Hollandsnieuwe,1, , ,"default,supl"
204,8, ,KPN4G.nl, , ,KPN 4G LTE, , , ,"default,supl,mms"
204,8, ,internet,kpn,gprs,KPN GPRS, , , ,"default,supl"
204,8, ,portalmmm.nl, , ,KPN Mobiel Internet, , , ,*
204,8, ,portalmmm.nl, , ,Hi Mobiel Internet, , , ,*
204,8, ,portalmmm.nl, , ,Simyo Mobiel Internet,1, , ,"default,supl,mms"
204,8, ,portalmmm.nl, , ,Ortel Internet,1, , ,"default,supl,mms"
204,8, ,multimedia.lebara.nl, , ,Lebara Internet,1, , ,"default,supl,mms"
204,8, ,multimedia.ah.nl, , ,AH Mobiel Internet, , , ,*
204,8, ,internet.mvno.mobi,mvno,mvno,MVNO NL,1, , ,"default,supl"
204,8, ,internet, , ,Telfort Internet, , , ,"default,supl,mms"
204,9, ,data.lycamobile.nl,lmnl,plus,Lycamobile NL, , , ,"default,supl"
204,12, ,internet, , ,Telfort Mobiel Internet,1, , ,"default,supl,mms"
204,12, ,multimedia.ah.nl, , ,AH Mobiel Internet, , , ,"default,supl,mms"
204,16, ,internet, , ,T-Mobile Internet,1, , ,"default,supl"
204,16, ,smartsites.t-mobile, , ,T-Mobile NL, , , ,"default,supl"
204,16, ,mms,tmobilemms,tmobilemms,T-Mobile MMS,1, , ,mms
204,16, ,internet.ben, , ,Ben,1, , ,"default,supl"
204,16, ,mms.ben, , ,Ben MMS, , , ,mms
204,20, ,internet, , ,Orange NL,3, , ,"default,supl"
204,20, ,mms, , ,Orange NL MMS,3, , ,mms
206,1, ,event.proximus.be,mms,mms,Proximus MMS, , , ,mms
206,1, ,internet.proximus.be, , ,Proximus Internet, , , ,"default,supl"
206,1, ,wisp.mobi.eastlink.ca, , ,Eastlink Internet, , , ,"default,supl"
206,1, ,mms.mobi.eastlink.ca, , ,Eastlink MMS, , , ,mms
206,1, ,telenetwap.be, , ,Telenet Intl Roam, , , ,"default,supl"
206,1, ,mms.be, , ,Telenet MMS Intl Roam, , , ,mms
206,1, ,web.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Internet,0, , ,"default,supl"
206,1, ,mms.iusacellgsm.mx,mmsiusacellgsm,mmsiusacellgsm,Iusacell MMS,0, , ,mms
206,1, ,modem.iusacellgsm.mx,iusacellgsm,iusacellgsm,Iusacell Modem,0, , ,dun
206,1, ,internet.bmbpartner.be, , ,Scarlet Internet, , , ,"default,supl"
206,1, ,event.proximus.be,mms,mms,Scarlet MMS, , , ,mms
206,5, ,telenetwap.be, , ,Telenet, , , ,"default,supl"
206,5, ,mms.be, , ,Telenet MMS, , , ,mms
206,5, ,telenetwap.be, , ,Voo Mobile, , , ,"default,supl"
206,5, ,mms.be,mms,mms,Voo MMS,1, , ,mms
206,6, ,data.lycamobile.be,lmbe,plus,Lycamobile BE, , , ,"default,supl"
206,10, ,mworld.be,mobistar,mobistar,Mobistar,1, , ,"default,supl"
206,10, ,mms.be,mobistar,mobistar,Mobistar MMS,1, , ,mms
206,10, ,telenetwap.be, , ,Telenet,1, , ,"default,supl"
206,20, ,gprs.base.be,base,base,BASE Belgium,1, , ,"default,supl"
206,20, ,mms.base.be,base,base,BASE MMS Belgium,1, , ,mms
206,20, ,carrefourdata.be,carrefour,carrefour,Carrefour Belgium, , , ,"default,supl"
206,20, ,carrefourmms.be,carrefour,carrefour,Carrefour Belgium MMS, , , ,mms
206,20, ,web.be,web,web,Mobile Vikings,1, , ,"default,supl"
206,20, ,mms.be,mms,mms,Mobile Vikings MMS,1, , ,mms
206,20, ,gprs.base.be,base,base,JIM Mobile Internet,1, , ,"default,supl"
206,20, ,mms.base.be,base,base,JIM Mobile MMS,1, , ,mms
208,1, ,orange.fr,orange,orange,Orange Internet, , , ,"default,supl,dun"
208,1, ,orange.acte,orange,orange,Orange MMS, , , ,mms
208,1, ,orange,orange,orange,Orange World,2, , ,"default,supl"
208,1, ,orange-mib,orange,orange,Orange Entreprise,2, , ,"default,supl"
208,1, ,orange,orange,orange,Orange France, , , ,"default,supl"
208,1, ,orange.acte,orange,orange,Orange FR-MMS, , , ,mms
208,1, ,Orange.acte,Orange,orange,Orange MMS, , , ,mms
208,1, ,ofnew.fr,orange,orange,Orange Internet, , , ,tethering
208,1, ,ofnew.fr,orange,orange,Carrefour WAP, , , ,"default,supl"
208,1, ,orange.acte,orange,orange,Carrefour MMS, , , ,mms
208,1, ,ofnew.fr,orange,orange,NRJ WAP, , , ,"default,supl"
208,1, ,orange.acte,orange,orange,NRJ MMS, , , ,mms
208,1, ,ofnew.fr,orange,orange,Tele2 WAP, , , ,"default,supl"
208,1, ,orange.acte,orange,orange,Tele2 MMS, , , ,mms
208,1, ,ofnew.fr,orange,orange,Virgin Mobile, , , ,"default,supl"
208,1, ,ofnew.fr,orange,orange,Virgin,1, , ,"default,supl"
208,1, ,orange.acte,orange,orange,Virgin Mobile MMS, , , ,mms
208,1, ,internet-entreprise,orange,orange,Internet Entreprise, , , ,tethering
208,1, ,ofnew.fr, , ,NRJ WEB,1, , ,"default,supl"
208,1, ,orange.acte,orange,orange,NRJ MMS,1, , ,mms
208,1, ,ofnew.fr, , ,C le WEB,1, , ,"default,supl"
208,1, ,orange.acte,orange,orange,C le MMS,1, , ,mms
208,1, ,ofnew.fr, , ,M6Mobile, , , ,"default,supl"
208,1, ,orange.acte,orange,orange,M6Mobile, , , ,mms
208,1, ,wap mms,orange,orange,Web Carrefour, , , ,"default,supl"
208,1, ,orange.acte,orange,orange,Web Carrefour, , , ,mms
208,1, ,internet68, , ,internet68, , , ,"default,supl"
208,1, ,mms68, , ,mms68, , , ,mms
208,1, ,orange,orange,orange,Breizh Mobile, , , ,"default,supl"
208,1, ,orange.acte,orange,orange,C MMS, , , ,mms
208,1, ,symacom.fr, , ,Syma, , , ,"default,supl"
208,1, ,fr.lebara.mobi, , ,Lebara internet, , , ,"default,supl"
208,1, ,ofnew.fr,orange,orange,NRJ WEB,1, , ,"default,supl"
208,1, ,orange.acte,orange,orange,NRJ MMS,1, , ,mms
208,1, ,orange.acte,orange,orange,C le MMS,1, , ,mms
208,2, ,orange.fr, , ,Orange GPRS ISP, , , ,"default,supl"
208,2, ,orange.acte,orange,orange,MMS Orange GPRS, , , ,mms
208,2, ,orange.fr, , ,Orange GPRS, , , ,"default,supl"
208,2, ,ofnew.fr, , ,NRJWEB, , , ,"default,supl"
208,2, ,orange.fr, , ,Orange GPRS ISP, , , ,"default,supl"
208,2, ,gprs-service-fr.net, , ,Simyo Web,3, , ,"default,supl"
208,9, ,mmssfr, , ,SFR MMS, , , ,mms
208,9, ,sl2sfr, , ,SFR, , , ,"default,supl"
208,9, ,wapsfr,none,none,SFR WAP, , , ,"default,supl"
208,9, ,websfr, , ,SFR ACCESS DATA, , , ,"default,supl"
208,10, ,wap65, , ,Auchan WAP, , , ,"default,supl"
208,10, ,mms65, , ,Auchan MMS, , , ,mms
208,10, ,wapdebitel, , ,WAP simplicime, , , ,"default,supl"
208,10, ,mmsdebitel, , ,MMS simplicime, , , ,mms
208,10, ,internetdebitel, , ,WEB simplicime, , , ,"default,supl"
